source_language,source_text,translated_text
"eng_Latn","chocolate advent calendar 2025","2025年巧克力降临日历"
"eng_Latn","flower advent calendar","花朵倒数日历"
"eng_Latn","guitar picks advent calendar","吉他拨片圣诞倒数日历"
"eng_Latn","harry potter advent calendar 2025","2025年哈利·波特主题的圣诞倒数日历"
"eng_Latn","hot wheels advent calendar 2025","2025年风火轮冒险日历"
"eng_Latn","slime advent calendar","史莱姆主题的倒数日历"
"eng_Latn","advent calendar football","足球主题的倒计时日历"
"eng_Latn","advent calendar hot wheels","倒计时日历风火轮玩具"
"eng_Latn","football advent calendar","足球主题的圣诞倒数日历"
"eng_Latn","lord of the rings advent calendar","《指环王》主题的倒数日历"
"eng_Latn","mens advent calendar","男士圣诞倒数日历"
"eng_Latn","advent calendar stitch","圣诞倒数日历针织"
"eng_Latn","friends advent calendar","朋友降临日历"
"eng_Latn","pokemon advent calendar 2025","2025年宝可梦倒数日历"
"eng_Latn","stitch advent calendar","针织圣诞倒数日历"
"eng_Latn","wicked advent calendar","邪恶的圣诞倒数日历"
"eng_Latn","wooden advent calendar","木质圣诞倒数日历"
"eng_Latn","puzzle advent calendar","拼图式圣诞倒数日历"
"eng_Latn","sock advent calendar","袜子倒数日历"
"eng_Latn","advent calendar coffee","倒计时日历咖啡"
"eng_Latn","diy advent calendar","DIY 圣诞倒数日历"
"eng_Latn","mini brands kawaii advent calendar","迷你品牌可爱圣诞倒数日历"
"eng_Latn","sea glass advent calendar","海玻璃圣诞倒数日历"
"eng_Latn","vegan advent calendar","素食主义者的圣诞倒数日历"
"eng_Latn","advent calendar for boys","男孩用的圣诞倒数日历"
"eng_Latn","advent calendar men 2025","2025年男士降临日历"
"eng_Latn","advent calendar socks","圣诞倒数日历袜"
"eng_Latn","anime advent calendar","动漫主题的圣诞倒数日历"
"eng_Latn","craft advent calendar","手工制作圣诞倒数日历"
"eng_Latn","crystal advent calendar","水晶日历"
"eng_Latn","sanrio advent calendar","三丽鸥圣诞倒数日历"
"deu_Latn","adventskalender 2025","2025年圣诞倒数日历"
"deu_Latn","adventskalender 2025 frauen","2025年圣诞倒数日历 女性"
"deu_Latn","adventskalender","圣诞倒数日历"
"deu_Latn","adventskalender zum befüllen","可填充的圣诞倒数日历"
"deu_Latn","adventskalender 2025 männer","2025年圣诞倒数日历 男士"
"deu_Latn","adventskalender 2025 kinder","2025年儿童圣诞日历"
"deu_Latn","adventskalender männer","圣诞倒数日历 男士"
"deu_Latn","adventskalender kinder","圣诞倒数日历 儿童"
"deu_Latn","adventskalender füllung","圣诞倒数日历填充物"
"deu_Latn","lego adventskalender 2025","乐高2025年圣诞倒数日历"
"deu_Latn","adventskalender 2025 mädchen","2025年圣诞倒数日历 女孩"
"deu_Latn","tee adventskalender 2025","茶 圣诞倒数日历 2025"
"deu_Latn","rituals adventskalender 2025","rituals 2025年圣诞倒数日历"
"deu_Latn","adventskalender frauen","圣诞倒数日历 女士"
"deu_Latn","adventskalender tüten","圣诞倒数日历袋子"
"deu_Latn","adventskalender mädchen","圣诞倒数日历 女孩"
"deu_Latn","playmobil adventskalender","playmobil 圣诞倒数日历"
"deu_Latn","lindt adventskalender 2025","林德特2025年圣诞倒数日历"
"deu_Latn","adventskalender schokolade","圣诞倒数日历 巧克力"
"deu_Latn","adventskalender lego","乐高圣诞日历"
"deu_Latn","harry potter adventskalender","哈利波特圣诞倒数日历"
"deu_Latn","adventskalender paare","圣诞倒数日历配对"
"deu_Latn","bosch adventskalender 2025","博世2025年圣诞倒数日历"
"deu_Latn","pokemon adventskalender 2025","宝可梦2025年圣诞日历"
"deu_Latn","lego adventskalender","乐高圣诞倒数日历"
"deu_Latn","kleinigkeiten für adventskalender","圣诞日历小物件"
"deu_Latn","wera adventskalender 2025","wera 2025年圣诞倒数日历"
"deu_Latn","red bull adventskalender 2025","2025年红牛圣诞日历"
"deu_Latn","adventskalender teenager mädchen","圣诞倒数日历 青少年 女孩"
"deu_Latn","weihnachtskalender 2025","2025年圣诞日历"
"deu_Latn","makita adventskalender 2025","牧田2025年圣诞倒数日历"
"deu_Latn","2025 adventskalender","2025年圣诞倒数日历"
"deu_Latn","adventskalender tee","圣诞倒数日历茶"
"deu_Latn","essence adventskalender 2025","精华圣诞倒数日历2025"
"deu_Latn","exit adventskalender 2025","2025年圣诞倒数日历退出"
"deu_Latn","minecraft adventskalender 2025","《我的世界》2025年圣诞日历"
"deu_Latn","pringles adventskalender 2025","宾利斯2025年圣诞倒数日历"
"deu_Latn","amorelie adventskalender 2025","amorelie 2025年圣诞倒数日历"
"deu_Latn","adventskalender selber befüllen","自行填充圣诞倒数日历"
"deu_Latn","adventskalender 2025 schokolade","2025年圣诞倒数日历 巧克力"
"deu_Latn","douglas adventskalender 2025","道格拉斯2025年圣诞倒数日历"
"deu_Latn","adventskalender rätsel","圣诞日历谜题"
"deu_Latn","adventskalender füllung kinder","圣诞倒数日历填充物儿童"
"deu_Latn","männer adventskalender 2025","男士2025年圣诞倒数日历"
"deu_Latn","beauty adventskalender 2025","2025年美妆圣诞倒数日历"
"deu_Latn","adventskalender zum befüllen kinder","可填充的圣诞倒数日历（儿童用）"
"deu_Latn","adventskalender chips","圣诞日历薯片"
"deu_Latn","kinder adventskalender 2025","儿童圣诞倒数日历 2025"
"deu_Latn","tee adventskalender","茶圣诞日历"
"deu_Latn","bier adventskalender 2025","2025年啤酒圣诞日历"
"deu_Latn","nivea adventskalender 2025","妮维雅2025年圣诞倒数日历"
"deu_Latn","adventskalender playmobil","playmobil圣诞倒数日历"
"deu_Latn","adventskalender säckchen","圣诞倒数日历小袋子"
"deu_Latn","red bull adventskalender","红牛圣诞倒数日历"
"deu_Latn","adventskalender 2025 beauty","2025年圣诞倒数日历 美妆"
"deu_Latn","nutella adventskalender 2025","Nutella圣诞倒数日历2025"
"deu_Latn","catrice adventskalender 2025","卡翠丝2025年圣诞倒数日历"
"deu_Latn","adventskalender für männer","男士圣诞倒数日历"
"deu_Latn","adventskalender lindt","林德特圣诞倒数日历"
"deu_Latn","adventskalender teenager jungs","圣诞倒数日历 青少年 男孩"
"deu_Latn","chips adventskalender 2025","薯片 圣诞倒数日历 2025"
"deu_Latn","schleich adventskalender 2025","施莱赫2025年圣诞倒数日历"
"deu_Latn","stitch adventskalender","stitch adventskalender"
"deu_Latn","adventskalender für paare","情侣圣诞倒数日历"
"deu_Latn","schmuck adventskalender 2025","2025年饰品圣诞倒数日历"
"deu_Latn","koro adventskalender 2025","科罗2025年圣诞倒数日历"
"deu_Latn","adventskalender jungen","圣诞倒数日历（针对年轻人）"
"deu_Latn","adventskalender frauen 2025","2025年女性圣诞倒数日历"
"deu_Latn","baby born adventskalender 2025","2025年宝宝诞生圣诞倒数日历"
"deu_Latn","adventskalender tüten zum befüllen","圣诞日历填充袋"
"deu_Latn","pixi adventskalender 2025","pixi 2025年圣诞倒数日历"
"deu_Latn","legami adventskalender 2025","legami 2025年圣诞倒数日历"
"deu_Latn","lindt adventskalender","林德特圣诞倒数日历"
"deu_Latn","adventskalender 2025 erwachsene","2025年成人圣诞倒数日历"
"deu_Latn","hot wheels adventskalender 2025","2025年热力轮历险记圣诞倒数日历"
"deu_Latn","Weihnachtskalender","圣诞日历"
"deu_Latn","werkzeug adventskalender 2025","工具 圣诞倒数日历 2025"
"deu_Latn","stranger things adventskalender","怪奇物语圣诞倒数日历"
"deu_Latn","adventskalender kinderschokolade","圣诞倒数日历 儿童巧克力"
"deu_Latn","haribo adventskalender 2025","哈丽宝2025年圣诞倒数日历"
"deu_Latn","purelei adventskalender 2025","purelei 2025年圣诞倒数日历"
"deu_Latn","adventskalender süßigkeiten","圣诞倒数日历 糖果"
"deu_Latn","adventskalender beauty","圣诞倒数日历 美容"
"deu_Latn","adventskalender harry potter","哈利波特圣诞倒数日历"
"deu_Latn","maybelline adventskalender 2025","美宝莲2025年圣诞倒数日历"
"deu_Latn","adventskalender schmuck","圣诞倒数日历饰品"
"deu_Latn","niederegger adventskalender 2025","Niederegger 圣诞倒数日历 2025"
"deu_Latn","kleinigkeiten für adventskalender kinder","儿童圣诞倒数日历的小配件"
"deu_Latn","adventskalender mädchen 10 jahre","圣诞倒数日历 女孩 10岁"
"deu_Latn","'adventskalender 2025","2025年圣诞倒数日历"
"deu_Latn","barbie adventskalender 2025","芭比2025年圣诞倒数日历"
"deu_Latn","adventskalender für frauen","女性用的圣诞倒数日历"
"deu_Latn","paar adventskalender 2025","2025年圣诞倒数日历几个"
"deu_Latn","adventskalender baby","圣诞倒数日历 宝宝"
"deu_Latn","adventskalender 2025 lego","2025年乐高圣诞日历"
"deu_Latn","milka adventskalender 2025","米尔卡2025年圣诞倒数日历"
"deu_Latn","adventskalender minecraft","《我的世界》圣诞倒数日历"
"deu_Latn","adventskalender jungen 10 jahre","10岁年轻人的圣诞倒数日历"
"deu_Latn","weihnachtskalender selbst befüllen","自行填充圣诞日历"
"deu_Latn","puzzle adventskalender","拼图圣诞日历"
"deu_Latn","adventskalender mann","圣诞倒数日历 男士"
"deu_Latn","rituals adventskalender","rituals 圣诞倒数日历"
"deu_Latn","lego minecraft adventskalender 2025","乐高我的世界2025年圣诞倒数日历"
"deu_Latn","kinderschokolade adventskalender","儿童巧克力 圣诞倒数日历"
"deu_Latn","hunde adventskalender 2025","2025年狗狗圣诞倒数日历"
"deu_Latn","after eight adventskalender","after eight 圣诞倒数日历"
"deu_Latn","adventskalender werkzeug","圣诞倒数日历工具"
"deu_Latn","tiptoi adventskalender 2025","蒂普托伊2025年圣诞倒数日历"
"deu_Latn","adventskalender zum befüllen stoff","可填充的圣诞倒数日历布料"
"deu_Latn","minecraft adventskalender","我的世界圣诞日历"
"deu_Latn","lakritz adventskalender","lakritz 圣诞倒数日历"
"deu_Latn","adventskalender 2025 tee","2025年圣诞倒数日历 茶饮"
"deu_Latn","fc bayern adventskalender 2025","拜仁慕尼黑2025圣诞倒数日历"
"deu_Latn","tüten adventskalender","女孩的复临日历"
"deu_Latn","socken adventskalender","袜子圣诞日历"
"deu_Latn","füllung adventskalender teenager","填充式圣诞倒数日历 青少年"
"deu_Latn","adventskalender erwachsene","成人圣诞日历"
"deu_Latn","parfüm adventskalender","香水 圣诞倒数日历"
"deu_Latn","weihnachtskalender 2025 für frauen","2025年女性圣诞日历"
"deu_Latn","kneipp adventskalender 2025","kneipp 2025年圣诞倒数日历"
"deu_Latn","playmobil adventskalender 2025","playmobil 2025年圣诞倒数日历"
"deu_Latn","pokemon adventskalender","宝可梦圣诞日历"
"deu_Latn","adventskalender schleich","圣诞倒数日历 Schleich"
"deu_Latn","schleich adventskalender","施莱希圣诞倒数日历"
"deu_Latn","protein adventskalender 2025","2025年蛋白质圣诞日历"
"deu_Latn","adventskalender hund","圣诞倒数日历 狗"
"deu_Latn","adventskalender buch","圣诞倒数日历书"
"deu_Latn","lego star wars adventskalender","乐高星球大战圣诞日历"
"deu_Latn","lego blumen adventskalender","乐高花朵圣诞倒数日历"
"deu_Latn","adventskalender mädchen 12 jahre","圣诞倒数日历 女孩 12岁"
"deu_Latn","adventskalender mädchen 8 jahre","圣诞倒数日历 女孩 8岁"
"deu_Latn","süßigkeiten adventskalender","糖果 圣诞倒数日历"
"deu_Latn","ankerkraut adventskalender 2025","2025年安克克劳特圣诞日历"
"deu_Latn","adventskalender 2025 süßigkeiten","2025年圣诞倒数日历 糖果"
"deu_Latn","star wars adventskalender 2025","星球大战2025年圣诞日历"
"deu_Latn","adventskalender füllung männer","圣诞倒数日历填充物 男士"
"deu_Latn","adventskalender zum selber befüllen","可自行填充的圣诞倒数日历"
"deu_Latn","paw patrol adventskalender 2025","《帕丁顿熊》2025年圣诞倒数日历"
"deu_Latn","adventskalender pokemon","译文：宝可梦圣诞倒数日历"
"deu_Latn","adventskalender 2025 lindt","2025年林德特圣诞倒数日历"
"deu_Latn","squishmallow adventskalender","squishmallow 圣诞倒数日历"
"deu_Latn","adventskalender buch kinder","圣诞日历书 儿童"
"deu_Latn","seeberger adventskalender","西伯格圣诞倒数日历"
"deu_Latn","adventskalender essence","圣诞倒数日历 精华液"
"deu_Latn","funko pop adventskalender","funko pop adventskalender"
"deu_Latn","adventskalender gewürze","圣诞日历 调味料"
"deu_Latn","stitch adventskalender 2025","刺绣圣诞倒数日历2025"
"deu_Latn","adventskalender für paare 2025","2025年情侣圣诞日历"
"deu_Latn","adventskalender vegan","素食主义圣诞倒数日历"
"deu_Latn","sugargang adventskalender","sugargang adventskalender"
"deu_Latn","asam beauty adventskalender 2025","asam beauty 2025年圣诞倒数日历"
"deu_Latn","pärchen adventskalender","成对的圣诞倒数日历"
"deu_Latn","adventskalender teenager","青少年圣诞倒数日历"
"deu_Latn","just spices adventskalender 2025","just spices 圣诞倒数日历 2025"
"deu_Latn","adventskalender jungen 12 jahre","圣诞日历 12岁男孩"
"deu_Latn","seeberger adventskalender 2025","西伯格2025年圣诞倒数日历"
"deu_Latn","adventskalender jungs","圣诞倒数日历 男孩"
"deu_Latn","gravitrax adventskalender 2025","gravitrax 2025年圣诞倒数日历"
"deu_Latn","kpop demon hunters adventskalender","Kpop恶魔猎人圣诞日历"
"deu_Latn","hitschies adventskalender","hitschies adventskalender"
"deu_Latn","kinder adventskalender","儿童圣诞倒数日历"
"deu_Latn","katzen adventskalender 2025","2025年猫咪圣诞倒数日历"
"deu_Latn","ausgefallene adventskalender für erwachsene","别致的成人版圣诞降临日历"
"deu_Latn","adventskalender zahlen aufkleber","圣诞日历支付贴纸"
"deu_Latn","angel adventskalender 2025","2025年天使圣诞倒数日历"
"deu_Latn","eis adventskalender 2025 für paare","2025年情侣款圣诞倒数日历冰品"
"deu_Latn","adventskalender protein","圣诞倒数日历 蛋白质"
"deu_Latn","adventskalender barbie","芭比圣诞倒数日历"
"deu_Latn","adventskalender frau","圣诞倒数日历（女士用）"
"deu_Latn","adventskalender rituals","圣诞倒数日历仪式"
"deu_Latn","adventskalender fußball","足球圣诞日历"
"deu_Latn","fitness adventskalender 2025","2025年健身圣诞日历"
"deu_Latn","escape adventskalender 2025","2025年逃离圣诞倒数日历"
"deu_Latn","adventskalender kosmetik","圣诞倒数日历 化妆品"
"deu_Latn","adventskalender pringles","圣诞日历 珍宝岛（Pringles）"
"deu_Latn","harry potter adventskalender 2025","哈利波特2025年圣诞倒数日历"
"deu_Latn","holy adventskalender","神圣的圣诞倒数日历"
"deu_Latn","adventskalender stitch","圣诞倒数日历 stitch"
"deu_Latn","adventskalender befüllen ideen","圣诞日历填充点子"
"deu_Latn","'adventskalender","圣诞日历"
"deu_Latn","freche freunde adventskalender","弗雷切弗伦德圣诞倒数日历"
"deu_Latn","barbie adventskalender","芭比圣诞倒数日历"
"deu_Latn","balea adventskalender 2025"," Balea 圣诞倒数日历 2025"
"deu_Latn","adventskalender katzen","圣诞倒数日历 猫"
"deu_Latn","kosmetik adventskalender 2025","2025年化妆品圣诞日历"
"deu_Latn","adventskalender schminke","圣诞倒数日历 美妆"
"deu_Latn","revell adventskalender","雷维尔圣诞倒数日历"
"deu_Latn","whisky adventskalender 2025","威士忌圣诞倒数日历 2025"
"deu_Latn","parfum adventskalender","香水 圣诞倒数日历"
"deu_Latn","adventskalender achtsamkeit","圣诞倒数日历 正念"
"deu_Latn","adventskalender 2025 teenager mädchen","2025年圣诞倒数日历 青少年 女孩"
"deu_Latn","frauen adventskalender 2025","女士2025年圣诞倒数日历"
"deu_Latn","schmuck adventskalender","饰品圣诞日历"
"deu_Latn","adventskalender socken","圣诞倒数日历袜子"
"deu_Latn","männer adventskalender","男士圣诞倒数日历"
"deu_Latn","essence adventskalender","精华圣诞倒数日历"
"deu_Latn","gewürz adventskalender 2025","2025年香料圣诞倒数日历"
"deu_Latn","adventskalender füllung frauen","圣诞日历填充物 女士"
"deu_Latn","schoko adventskalender 2025","2025年巧克力圣诞倒数日历"
"deu_Latn","adventskalender 2025 paare","2025年圣诞倒数日历（成对装）"
"deu_Latn","adventskalender 2025 frauen beauty","2025年圣诞倒数日历 女性 美容"
"deu_Latn","'adventskalender männer","圣诞日历 男士"
"deu_Latn","demon slayer adventskalender","斩恶魔圣诞日历"
"deu_Latn","adventskalender nüsse","圣诞倒数日历坚果"
"deu_Latn","werkzeug adventskalender","工具 圣诞倒数日历"
"deu_Latn","puzzle adventskalender 2025","拼图圣诞倒数日历 2025"
"deu_Latn","pferde adventskalender","马儿圣诞倒数日历"
"deu_Latn","buch adventskalender 2025","2025年圣诞倒数日历书籍"
"deu_Latn","checker tobi adventskalender 2025","2025年检查者托比圣诞倒数日历"
"deu_Latn","hazet adventskalender 2025","hazet 2025年圣诞倒数日历"
"deu_Latn","adventskalender 2025 kinderschokolade","2025年圣诞倒数日历 儿童巧克力"
"deu_Latn","bvb adventskalender 2025","bvb 2025年圣诞倒数日历"
"deu_Latn","adventskalender kinder 2 jahre","儿童（2岁）圣诞倒数日历"
"deu_Latn","adventskalender jungen 8 jahre","圣诞倒数日历 8岁儿童"
"deu_Latn","match attax adventskalender","比赛 attax 圣诞倒数日历"
"deu_Latn","rätsel adventskalender 2025","2025年谜题圣诞倒数日历"
"deu_Latn","adventskalender kinder schokolade","圣诞倒数日历 儿童 巧克力"
"deu_Latn","holy energy adventskalender","神圣能量圣诞倒数日历"
"deu_Latn","adventskalender essen","圣诞倒数日历食品"
"deu_Latn","adventskalender buch für erwachsene","成人版圣诞倒数日历书"
"deu_Latn","füllung adventskalender","填充式圣诞倒数日历"
"deu_Latn","rätsel adventskalender","谜题 圣诞倒数日历"
"deu_Latn","bluey adventskalender 2025","蓝精灵2025年圣诞倒数日历"
"deu_Latn","adventskalender zum befüllen groß","可填充的大号圣诞倒数日历"
"deu_Latn","adventskalender zahlen","圣诞倒数日历支付"
"deu_Latn","funny frisch adventskalender","搞笑新鲜圣诞倒数日历"
"deu_Latn","veganer adventskalender 2025","2025年纯素圣诞倒数日历"
"deu_Latn","adventskalender freundin","圣诞日历 女友"
"deu_Latn","weihnachtskalender 2025 kinder","2025年圣诞日历 儿童"
"deu_Latn","adventskalender haribo","哈丽宝圣诞日历"
"deu_Latn","marzipan adventskalender 2025","杏仁糖圣诞倒数日历 2025"
"deu_Latn","dart adventskalender 2025","2025年飞镖圣诞倒数日历"
"deu_Latn","adventskalender-frauen","圣诞倒数日历-女士"
"deu_Latn","adventskalender lakritz","圣诞倒数日历 桂皮"
"deu_Latn","adventskalender parfüm","圣诞倒数日历香水"
"deu_Latn","baby adventskalender","婴儿圣诞倒数日历"
"deu_Latn","baby born adventskalender","宝宝诞生圣诞倒数日历"
"deu_Latn","adventskalender inhalt kinder","圣诞倒数日历 内容 儿童"
"deu_Latn","makita adventskalender","牧田圣诞倒数日历"
"deu_Latn","adventskalender marzipan","圣诞日历 梅子糖"
"deu_Latn","adventskalender fitness","健身圣诞日历"
"deu_Latn","sephora adventskalender 2025","丝芙兰2025年圣诞倒数日历"
"deu_Latn","adventskalender damen","女士圣诞倒数日历"
"deu_Latn","mini adventskalender","迷你圣诞倒数日历"
"deu_Latn","schoko adventskalender","巧克力圣诞倒数日历"
"deu_Latn","säckchen adventskalender zum befüllen","小袋子圣诞倒数日历（可填充）"
"deu_Latn","adventskalender lindt 2025","林德特2025年圣诞倒数日历"
"deu_Latn","adventskalender 2025 jungs","2025年男孩圣诞倒数日历"
"deu_Latn","adventskalender 2025 schmuck","2025年圣诞倒数日历 珠宝"
"deu_Latn","diamond painting adventskalender","钻石画圣诞倒数日历"
"deu_Latn","weihnachtskalender 2025 für männer","2025年男士圣诞日历"
"deu_Latn","legami adventskalender","legami 圣诞倒数日历"
"deu_Latn","adventskalender paare 2025","2025年圣诞倒数日历套装"
"deu_Latn","anime adventskalender","动漫圣诞日历"
"deu_Latn","lego city adventskalender 2025","乐高城市2025年圣诞倒数日历"
"deu_Latn","adventskalender kinder 3 jahre","儿童圣诞倒数日历 3岁"
"deu_Latn","more adventskalender 2025","更多2025年圣诞日历"
"deu_Latn","exit adventskalender","圣诞倒数日历退出"
"deu_Latn","make up adventskalender 2025","2025年圣诞倒数日历组合套装"
"deu_Latn","papiertüten adventskalender","纸袋 圣诞倒数日历"
"deu_Latn","'adventskalender kinder","儿童圣诞倒数日历"
"deu_Latn","adventskalender baby born","圣诞倒数日历 宝宝诞生"
"deu_Latn","adventskalender junge","圣诞日历 年轻"
"deu_Latn","pringles adventskalender","品客圣诞倒数日历"
"deu_Latn","adventskalender 2025 make up","2025年圣诞倒数日历 美妆"
"deu_Latn","adventskalender für hunde","狗狗的圣诞倒数日历"
"deu_Latn","adventskalender füllung teenager","圣诞倒数日历填充物 青少年"
"deu_Latn","adventskalender playmobil 2025","2025年playmobil圣诞倒数日历"
"deu_Latn","capybara adventskalender","水豚圣诞倒数日历"
"deu_Latn","kleine geschenke für adventskalender","适用于圣诞倒数日历的小礼物"
"deu_Latn","pandora adventskalender","潘多拉圣诞倒数日历"
"deu_Latn","polly pocket adventskalender","波莉·波克圣诞倒数日历"
"deu_Latn","adventskalender selbst befüllen","自定义填充圣诞日历"
"deu_Latn","douglas adventskalender","道格拉斯圣诞倒数日历"
"deu_Latn","chips adventskalender","薯片 圣诞倒数日历"
"deu_Latn","yankee candle adventskalender","Yankee Candle 圣诞倒数日历"
"deu_Latn","adventskalender 2025 chips","2025年圣诞倒数日历薯片"
